task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r3:s20260722,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,3,20260722,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,4.466666666666667,45.56666666666667,0.514804133802334,0.0,4.466666666666667,0.33371133983086587,680.9158949000227,0.8465828881348957,5887.440017041594,1567.3162491293624
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r4:s20260723,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,4,20260723,p12_g4_a64,stability_delay_energy_v4,30,21,0.7,3.6333333333333333,43.86666666666667,0.6254982106737471,0.0,3.6333333333333333,0.2887685672047354,661.3214394185978,0.8446274647480203,5899.880559733222,1570.6994192441925
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r5:s20260724,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,5,20260724,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,4.066666666666666,44.96666666666667,0.5704445001765126,0.0,4.066666666666666,0.33501404155270315,691.5141770499125,0.8336525203004822,5753.673140705822,1616.8689577607438
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r6:s20260725,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,6,20260725,p12_g4_a64,stability_delay_energy_v4,30,23,0.7666666666666667,3.7666666666666666,44.766666666666666,0.5999953750821221,0.0,3.7666666666666666,0.3052335966843457,703.448704378249,0.8335456977183917,5711.851666108764,1591.6694146580994
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r7:s20260726,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,7,20260726,p12_g4_a64,stability_delay_energy_v4,30,23,0.7666666666666667,3.6,45.4,0.6136675611459204,0.0,3.6,0.25557385047549114,681.9198953972993,0.8459463460251272,7635.113320374829,1632.8665864421055
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r8:s20260727,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,8,20260727,p12_g4_a64,stability_delay_energy_v4,30,23,0.7666666666666667,4.333333333333333,43.86666666666667,0.5145352751829193,0.0,4.333333333333333,0.33283649098261736,614.0096944508471,0.8497978760654519,6616.932541475062,1602.765497751534
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r9:s20260728,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,9,20260728,p12_g4_a64,stability_delay_energy_v4,30,20,0.6666666666666666,2.8,43.93333333333333,0.5872387725111302,0.0,2.8,0.3126903528290913,651.8016865622199,0.8508095048363338,5164.247382176567,1531.5279591595754
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r10:s20260729,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,10,20260729,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,4.266666666666667,44.7,0.5799902830222944,0.0,4.266666666666667,0.3253663297822777,747.0062298818444,0.8331334108729523,5825.000085833951,1611.970249330625
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r11:s20260730,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,11,20260730,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.7666666666666666,45.2,0.4985532506895316,0.0,3.7666666666666666,0.34749848949689166,693.4458974470112,0.8428537725152716,6249.03587611855,1627.4895820533857
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r12:s20260731,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,12,20260731,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,3.6333333333333333,44.96666666666667,0.5366005514934304,0.0,3.6333333333333333,0.30840956154852134,660.5499531212884,0.8476812298837199,6041.940132814606,1619.9406244559214
